file,path,slug,duration_s,sample_rate,channels,bytes,sha256,duplicate_of,error
Voice 015.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 015.m4a,voice-015,38.264921,44100,1,655966,5f866b1fe79587979593d95803c2077d37ff0cfda66de4657e2f095fcd11c3b3,,
Voice 014.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 014.m4a,voice-014,109.082857,44100,1,1811460,72ed6a9158ed3558807fb5d4011503621b6aa0fd245060725afb4cd49b00cf35,,
Voice 016.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 016.m4a,voice-016,305.585261,44100,1,5017632,0c7a0131faaa129898ec1f89631d9f4141ec7879c1daf6696db0726c88985484,,
Record thầy Lâm (2).m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Record thầy Lâm (2).m4a,record-thay-lam-2,1307.926281,44100,1,21372047,581b59ace51f91612d5187091ef67c46fb905d5b150461379e5c0c988457618d,,
Voice 009.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 009.m4a,voice-009,2019.008141,44100,1,32974233,d70f2e44a8cdb16502f57e13a09cd19eb087a87d44c802a6e49aca2f84800c3e,,
Voice 011.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 011.m4a,voice-011,2403.352245,44100,1,39253841,8253f628a2f45812f00a9d46910b75c1c6be4cb8a2caf931d734d2dbab8cb5a8,,
Voice 012.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 012.m4a,voice-012,2853.290023,44100,1,46586577,dd0ad1d57a4754b5fcf6f472dc6259fe1a579e1ce312ff1170e6070d3e0b2067,,
Voice 013.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 013.m4a,voice-013,3462.626259,44100,1,56541005,3a38f27f8a93f604ada6eb42bee928b5783d8b0ea9bcf2418fb5bbbb494155f0,,
Voice 018.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 018.m4a,voice-018,4819.800023,44100,1,78672606,6cf6cb25f1eb35a13007d64fc4453daabdc1f011c302fb9d85e9aaee1b4424ca,,
Voice 010 (2).m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 010 (2).m4a,voice-010-2,6071.211247,44100,1,99090884,05da5a891e74ff38a387bb18666b1d4281b8e63522bd49617e39004b86abd576,voice-010,
Voice 010.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 010.m4a,voice-010,6071.211247,44100,1,99090884,05da5a891e74ff38a387bb18666b1d4281b8e63522bd49617e39004b86abd576,,
Recording (2).m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Recording (2).m4a,recording-2,6520.458583,48000,2,166512464,9e3b3dd2028f23da915a9ac58eb17a5760cb6acfe39c5a99313cc46043760d01,,
Voice 017.m4a,C:\Users\Admin\Documents\Collection\Data\Recording\Voice 017.m4a,voice-017,7424.275261,44100,1,121167888,0efb084f7463690da15279f30d81153c30e18f9e97f446d8bd5989a393967c76,,
