sentence_id,volume,group_start,text_raw,text_norm,avg_logprob,no_speech_prob,t_start,t_end,media_file,src_file,source,flags
1,1,1,The weather's nice today.,The weather's nice today.,-0.3103,0.0087,14.493,15.842,transcript_media/en/ZS_F1_0001_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 00:14.49-00:15.84,
2,1,1,I'm not rich.,I'm not rich.,-0.3958,0.0222,25.398,26.481,transcript_media/en/ZS_F1_0002_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 00:25.40-00:26.48,
3,1,1,This bag is heavy.,This bag is heavy.,-0.3950,0.0044,36.374,37.801,transcript_media/en/ZS_F1_0003_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 00:36.37-00:37.80,
4,1,1,These bags are heavy.,These bags are heavy.,-0.2644,0.0068,47.224,48.733,transcript_media/en/ZS_F1_0004_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 00:47.22-00:48.73,
5,1,1,"Look, there's my friend.","Look, there's my friend.",-0.2920,0.0164,58.201,59.907,transcript_media/en/ZS_F1_0005_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 00:58.20-00:59.91,
6,1,1,My brother and I are good tennis players.,My brother and I are good tennis players.,-0.1665,0.0090,70.284,72.831,transcript_media/en/ZS_F1_0006_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 01:10.28-01:12.83,
7,1,1,His mother is at home. He's at school.,His mother is at home. He's at school.,-0.1359,0.0168,84.153,87.047,transcript_media/en/ZS_F1_0007_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 01:24.15-01:27.05,
8,1,1,Her children are at school.,Her children are at school.,-0.3483,0.0142,97.956,99.567,transcript_media/en/ZS_F1_0008_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 01:37.96-01:39.57,
9,1,1,I'm a taxi driver.,I'm a taxi driver.,-0.3264,0.0133,109.565,110.818,transcript_media/en/ZS_F1_0009_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 01:49.56-01:50.82,
10,1,1,My sister's a nurse.,My sister's a nurse.,-0.1672,0.0095,121.607,123.151,transcript_media/en/ZS_F1_0010_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 02:01.61-02:03.15,
11,1,1,He's sick. He's in bed.,He's sick. He's in bed.,-0.2305,0.0111,132.723,133.582,transcript_media/en/ZS_F1_0011_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 02:12.72-02:13.58,
12,1,1,"I'm not hungry, but I'm thirsty.","I'm not hungry, but I'm thirsty.",-0.1090,0.0605,141.045,144.038,transcript_media/en/ZS_F1_0012_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 02:21.05-02:24.04,
13,1,1,He's a very old man. He's 98 years old.,He's a very old man. He's 98 years old.,-0.0960,0.0330,154.217,156.808,transcript_media/en/ZS_F1_0013_en.mp3,GLOSSIKA-ENZS-F1-GMS-0001A.mp3,F1-GMS-0001A 02:34.22-02:36.81,
