sentence_id,volume,group_start,text_raw,text_norm,avg_logprob,no_speech_prob,t_start,t_end,media_file,src_file,source,flags
1,1,1,今天天气不错。,今天天气不错。,-0.1759,0.9985,6.963,8.542,media/ZS_F1_0001.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:06.96-00:08.54,LOW_CONF
2,1,1,我不是个有钱人。,我不是个有钱人。,-0.2834,0.0093,11.269,13.038,media/ZS_F1_0002.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:11.27-00:13.04,
3,1,1,这个包很沉。,这个包很沉。,-0.3194,0.0005,15.682,17.798,media/ZS_F1_0003.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:15.68-00:17.80,
4,1,1,这些包很沉。,这些包很沉。,-0.2549,0.0005,19.955,22.028,media/ZS_F1_0004.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:19.95-00:22.03,
5,1,1,"看,那是我的朋友。","看,那是我的朋友。",-0.2301,0.0446,24.103,26.842,media/ZS_F1_0005.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:24.10-00:26.84,
6,1,1,我和我哥都是网球高手。,我和我哥都是网球高手。,-0.0564,0.0675,28.832,31.340,media/ZS_F1_0006.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:28.83-00:31.34,
7,1,1,"他母亲在家,他在学校。","他母亲在家,他在学校。",-0.1052,0.0346,33.886,36.941,media/ZS_F1_0007.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:33.89-00:36.94,
8,1,1,他的孩子们在学校。,他的孩子们在学校。,-0.1763,0.0289,38.935,41.150,media/ZS_F1_0008.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:38.94-00:41.15,
9,1,1,我是一名出租车司机。,我是一名出租车司机。,-0.0901,0.1534,43.375,46.224,media/ZS_F1_0009.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:43.37-00:46.22,
10,1,1,我妹妹是护士。,我妹妹是护士。,-0.2058,0.0015,48.203,50.547,media/ZS_F1_0010.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:48.20-00:50.55,
11,1,1,"他生病了,他躺在床上。","他生病了,他躺在床上。",-0.0966,0.0390,52.452,55.444,media/ZS_F1_0011.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:52.45-00:55.44,
12,1,1,"我不饿,但是我很渴。","我不饿,但是我很渴。",-0.1408,0.0169,57.408,59.999,media/ZS_F1_0012.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 00:57.41-00:60.00,
13,1,1,"他年纪很大,98岁了。","他年纪很大,98岁了。",-0.1191,0.9971,62.224,65.029,media/ZS_F1_0013.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 01:02.22-01:05.03,LOW_CONF
14,1,1,"这些椅子不好看,但很舒服。","这些椅子不好看,但很舒服。",-0.0597,0.5454,67.457,70.486,media/ZS_F1_0014.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 01:07.46-01:10.49,LOW_CONF
15,1,1,"今天很暖和,阳光明媚。","今天很暖和,阳光明媚。",-0.0432,0.0176,72.843,76.138,media/ZS_F1_0015.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 01:12.84-01:16.14,
16,1,1,"你知道了,我没有,我到的很早。","你知道了,我没有,我到的很早。",-0.1072,0.0333,78.138,81.873,media/ZS_F1_0016.mp3,GLOSSIKA-ENZS-F1-GMS-0001C.mp3,F1-GMS-0001C 01:18.14-01:21.87,
